Tag,Longitude,Latitude,Date
91732,33.8645,-1.186,2010-01-24 08:00:00.000
91732,33.90367,-1.2088299999999998,2010-01-24 14:00:00.000
91732,33.8345,-1.17183,2010-01-24 20:00:00.000
91732,33.85983,-1.1728299999999998,2010-01-25 05:00:00.000
91732,33.879670000000004,-1.198,2010-01-25 08:00:00.000
91732,33.9015,-1.208,2010-01-25 14:00:00.000
91732,33.85233,-1.16267,2010-01-25 20:00:00.000
91732,33.860170000000004,-1.16167,2010-01-26 05:00:00.000
91732,33.85883,-1.15117,2010-01-26 08:00:00.000
91732,33.90083,-1.208,2010-01-26 14:00:00.000
91732,33.86133,-1.18517,2010-01-26 20:00:00.000
91732,33.851,-1.178,2010-01-27 05:00:00.000
91732,33.83667,-1.17317,2010-01-27 08:00:00.000
91732,33.90367,-1.2088299999999998,2010-01-27 14:00:00.000
91732,33.856,-1.16683,2010-01-27 20:00:00.000
91732,33.8575,-1.16317,2010-01-28 05:00:00.000
91732,33.855,-1.15667,2010-01-28 08:00:00.000
91732,33.9035,-1.2088299999999998,2010-01-28 14:00:00.000
91732,33.8595,-1.1740000000000002,2010-01-28 20:00:00.000
91732,33.8525,-1.1846700000000001,2010-01-29 05:00:00.000
91732,33.9005,-1.208,2010-01-29 08:00:00.000
91732,33.90333,-1.2088299999999998,2010-01-29 14:00:00.000
91732,33.84917,-1.16667,2010-01-29 20:00:00.000
91732,33.9005,-1.20783,2010-01-30 05:00:00.000
91732,33.86833,-1.11283,2010-01-30 08:00:00.000
91732,33.90367,-1.2088299999999998,2010-01-30 14:00:00.000
91732,33.86367,-1.187,2010-01-30 20:00:00.000
91732,33.84983,-1.17867,2010-01-31 05:00:00.000
91732,33.88,-1.08067,2010-01-31 08:00:00.000
91732,33.90367,-1.2088299999999998,2010-01-31 14:00:00.000
91732,33.88067,-1.1835,2010-01-31 20:00:00.000
91732,33.8625,-1.18583,2010-02-01 05:00:00.000
91732,33.84767,-1.13,2010-02-01 08:00:00.000
91732,33.90333,-1.2088299999999998,2010-02-01 14:00:00.000
91732,33.874,-1.1915,2010-02-01 20:00:00.000
91732,33.89,-1.2166700000000001,2010-02-02 05:00:00.000
91732,33.84833,-1.159,2010-02-02 08:00:00.000
91732,33.90317,-1.2086700000000001,2010-02-02 14:00:00.000
91732,33.85117,-1.1763299999999999,2010-02-02 20:00:00.000
91732,33.89067,-1.208,2010-02-03 05:00:00.000
91732,33.9015,-1.20783,2010-02-03 08:00:00.000
91732,33.902,-1.2066700000000001,2010-02-03 14:00:00.000
91732,33.86717,-1.17367,2010-02-03 20:00:00.000
91732,33.9025,-1.20933,2010-02-04 05:00:00.000
91732,33.903,-1.20983,2010-02-04 08:00:00.000
91732,33.90283,-1.177,2010-02-04 14:00:00.000
91732,33.89733,-1.14883,2010-02-04 20:00:00.000
91732,33.88583,-1.1196700000000002,2010-02-05 05:00:00.000
91732,33.88733,-1.1481700000000001,2010-02-05 08:00:00.000
91732,33.9005,-1.208,2010-02-05 14:00:00.000
91732,33.87133,-1.1541700000000001,2010-02-05 20:00:00.000
91732,33.9015,-1.20783,2010-02-06 05:00:00.000
91732,33.8835,-1.16117,2010-02-06 08:00:00.000
91732,33.90367,-1.2088299999999998,2010-02-06 14:00:00.000
91732,33.86083,-1.1865,2010-02-06 20:00:00.000
91732,33.86067,-1.204,2010-02-07 05:00:00.000
91732,33.898,-1.2025,2010-02-07 08:00:00.000
91732,33.9025,-1.20933,2010-02-07 14:00:00.000
91732,33.86183,-1.1925,2010-02-07 20:00:00.000
91732,33.85617,-1.203,2010-02-08 05:00:00.000
91732,33.83883,-1.1868299999999998,2010-02-08 08:00:00.000
91732,33.872170000000004,-1.2108299999999999,2010-02-08 14:00:00.000
91732,33.84417,-1.185,2010-02-08 20:00:00.000
91732,33.89017,-1.2166700000000001,2010-02-09 05:00:00.000
91732,33.889829999999996,-1.2166700000000001,2010-02-09 08:00:00.000
91732,33.84933,-1.229,2010-02-09 14:00:00.000
91732,33.8585,-1.2155,2010-02-09 20:00:00.000
91732,33.85067,-1.226,2010-02-10 05:00:00.000
91732,33.89633,-1.2106700000000001,2010-02-10 08:00:00.000
91732,33.90067,-1.20833,2010-02-10 14:00:00.000
91732,33.85767,-1.21433,2010-02-10 20:00:00.000
91732,33.889829999999996,-1.2165,2010-02-11 05:00:00.000
91732,33.88667,-1.21183,2010-02-11 08:00:00.000
91732,33.89017,-1.21717,2010-02-11 14:00:00.000
91732,33.85833,-1.2135,2010-02-11 20:00:00.000
91732,33.889829999999996,-1.2165,2010-02-12 05:00:00.000
91732,33.85233,-1.1908299999999998,2010-02-12 08:00:00.000
91732,33.9025,-1.20933,2010-02-12 14:00:00.000
91732,33.84683,-1.22633,2010-02-12 20:00:00.000
91732,33.89,-1.2166700000000001,2010-02-13 05:00:00.000
91732,33.846,-1.171,2010-02-13 08:00:00.000
91732,33.90783,-1.20817,2010-02-13 14:00:00.000
91732,33.819,-1.18567,2010-02-13 20:00:00.000
91732,33.89,-1.2166700000000001,2010-02-14 05:00:00.000
91732,33.875,-1.215,2010-02-14 08:00:00.000
91732,33.887170000000005,-1.2125,2010-02-14 14:00:00.000
91732,33.84317,-1.21133,2010-02-14 20:00:00.000
91732,33.887170000000005,-1.2126700000000001,2010-02-15 05:00:00.000
91732,33.841,-1.19783,2010-02-15 08:00:00.000
91732,33.78133,-1.1355,2010-02-15 14:00:00.000
91732,33.79217,-1.15333,2010-02-15 20:00:00.000
91732,33.89,-1.2166700000000001,2010-02-16 05:00:00.000
91732,33.89017,-1.2166700000000001,2010-02-16 08:00:00.000
91732,33.88667,-1.2125,2010-02-16 14:00:00.000
91732,33.80433,-1.1341700000000001,2010-02-16 20:00:00.000
91732,33.887,-1.2126700000000001,2010-02-17 05:00:00.000
91732,33.83883,-1.19833,2010-02-17 08:00:00.000
